variant_id	batch_id	category	category_group	topic_id	editorial_role	semantic_group	output_mode	trigger	required_context	tone	interrupt_cost	cooldown_hours	semantic_cooldown_hours	max_per_day	weight	relationship_profile	text	review_status
authored.b025.growth.study.constraint-reasoning.0001	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	面对题目或需求时先列出不能违反的条件，答案空间缩小以后，思路反而更容易安静下来。	approved
authored.b025.growth.study.constraint-reasoning.0002	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	把硬约束和软偏好分开写，前者决定可不可行，后者才适合在多个可行方案之间比较。	approved
authored.b025.growth.study.constraint-reasoning.0003	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	算法题里的输入范围不是背景装饰，它常常直接告诉人该用线性、对数还是更谨慎的复杂度。	approved
authored.b025.growth.study.constraint-reasoning.0004	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	设计接口时先问哪些状态永远不允许出现，把不变量写到边界，后面的代码会轻一点。	approved
authored.b025.growth.study.constraint-reasoning.0005	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	资源有限时明确最稀缺的是哪一项，时间、内存和调用次数不能同时被当成无限。	approved
authored.b025.growth.study.constraint-reasoning.0006	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	复杂需求先找最小不可变规则，界面和流程可以调整，核心承诺不该在讨论中被随手丢掉。	approved
authored.b025.growth.study.constraint-reasoning.0007	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	约束之间可能互相冲突，先把冲突显式写出来，比暗中偏向其中一个方案更容易协作。	approved
authored.b025.growth.study.constraint-reasoning.0008	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	优化前先确认目标函数，吞吐、延迟和成本哪一个优先，目标一变，正确的路线也会变。	approved
authored.b025.growth.study.constraint-reasoning.0009	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	数据结构选择可以从操作约束倒推，需要频繁插入还是随机访问，答案通常已经藏在问题里。	approved
authored.b025.growth.study.constraint-reasoning.0010	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	每个假设都标注能否被验证，无法验证的假设不是不能用，只是该保留更多余量。	approved
authored.b025.growth.study.constraint-reasoning.0011	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	需求中的必须和最好要区别对待，把愿望误当门槛，会让实现无端变得沉重。	approved
authored.b025.growth.study.constraint-reasoning.0012	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	构造反例时专挑约束边缘，正常样本最会配合，真正的规则往往在临界处才露面。	approved
authored.b025.growth.study.constraint-reasoning.0013	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	当方案越来越复杂时回头看最初约束，可能不是实现不够巧，而是问题被加了不必要的条件。	approved
authored.b025.growth.study.constraint-reasoning.0014	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	把约束翻成测试断言，抽象规则有了可运行的形状，后续改动也更难悄悄越线。	approved
authored.b025.growth.study.constraint-reasoning.0015	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	并发场景先写出允许的交错方式，顺序要求被说清楚，锁和队列的选择才有依据。	approved
authored.b025.growth.study.constraint-reasoning.0016	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	可用性要求要落成可测的时间或错误预算，只有高可用三个字时，每个人都会有不同想象。	approved
authored.b025.growth.study.constraint-reasoning.0017	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	阅读代码时先找守卫条件和 early return，它们常常标记了作者最在意的边界。	approved
authored.b025.growth.study.constraint-reasoning.0018	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	一个约束若只存在于口头说明里，迟早会被遗忘，文档、类型或校验至少要有一处承接它。	approved
authored.b025.growth.study.constraint-reasoning.0019	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	面对多个限制时先找能淘汰最多候选的那条，推理顺序选得好，复杂问题会显得更规整。	approved
authored.b025.growth.study.constraint-reasoning.0020	b025	Study	growth	growth.study.constraint_reasoning	constraint_model	growth.study.constraint_reasoning	self_talk	any	none	calm	1	168	192	1	1	neutral	约束变化后重新审视缓存和索引，旧的加速路径可能已经不再服务新的真实目标。	approved
