variant_id	batch_id	category	category_group	topic_id	editorial_role	semantic_group	output_mode	trigger	required_context	tone	interrupt_cost	cooldown_hours	semantic_cooldown_hours	max_per_day	weight	relationship_profile	text	review_status
authored.b095.system_ambient.display_cable_arc.0001	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	显示线缆从屏幕后方弯出去，桌边多了一道很稳的弧。	approved
authored.b095.system_ambient.display_cable_arc.0002	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线材贴着支架走，桌面下方会显得更清楚。	approved
authored.b095.system_ambient.display_cable_arc.0003	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	一根深色线缆靠住背板，画面背后也有自己的秩序。	approved
authored.b095.system_ambient.display_cable_arc.0004	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线缆弯到桌脚时，弧线会把直角空间稍微放柔。	approved
authored.b095.system_ambient.display_cable_arc.0005	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	把线收在显示器后面，正面的桌面会更干净。	approved
authored.b095.system_ambient.display_cable_arc.0006	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线材从底座旁边绕过去，路径会显得很明确。	approved
authored.b095.system_ambient.display_cable_arc.0007	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	显示线没有拉得太紧，桌边就会留出一点从容。	approved
authored.b095.system_ambient.display_cable_arc.0008	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	一段线缆落在暗处，侧光会把轮廓轻轻勾出来。	approved
authored.b095.system_ambient.display_cable_arc.0009	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线材的外皮很平，靠近看会有细小的柔光。	approved
authored.b095.system_ambient.display_cable_arc.0010	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	显示器背后的线不抢画面，却把连接安静地留在原处。	approved
authored.b095.system_ambient.display_cable_arc.0011	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线缆沿着支架下落，像给桌边添了一条很细的轨迹。	approved
authored.b095.system_ambient.display_cable_arc.0012	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	一根线绕过角落，屏幕周围会显得更有延续感。	approved
authored.b095.system_ambient.display_cable_arc.0013	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线材落到桌下以后，上面的空间就更容易保持留白。	approved
authored.b095.system_ambient.display_cable_arc.0014	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	显示线贴近边缘，经过时不会显得突兀。	approved
authored.b095.system_ambient.display_cable_arc.0015	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	深色线缆挨着浅色墙面，弧度会特别容易看见。	approved
authored.b095.system_ambient.display_cable_arc.0016	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	一段柔软的线材安静垂着，桌边的结构会更完整。	approved
authored.b095.system_ambient.display_cable_arc.0017	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线缆没有交叠时，显示器后方会显得很平稳。	approved
authored.b095.system_ambient.display_cable_arc.0018	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	从背板伸出的细线很低调，却让设备有了明确方向。	approved
authored.b095.system_ambient.display_cable_arc.0019	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线材绕出一个浅弯，桌脚附近就不那么生硬。	approved
authored.b095.system_ambient.display_cable_arc.0020	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	一根线贴着阴影走，亮处和暗处之间会更有层次。	approved
authored.b095.system_ambient.display_cable_arc.0021	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	显示线收好以后，屏幕周围的视线会显得更松。	approved
authored.b095.system_ambient.display_cable_arc.0022	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线缆沿着边界延开，桌面背后也有了一份整齐。	approved
authored.b095.system_ambient.display_cable_arc.0023	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	一段黑色弧线停在角落，和亮屏形成很轻的对比。	approved
authored.b095.system_ambient.display_cable_arc.0024	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	线材靠稳后不再晃动，桌边的安静也更有落点。	approved
authored.b095.system_ambient.display_cable_arc.0025	b095	SystemAmbient	system_ambient	system_ambient.b095.display_cable_arc	display_cable_arc	system_ambient.b095.display_cable_arc	system_observe	any	none	calm	0	120	144	1	1.0	neutral	显示器后方的一条线，替桌面留住了很细的连接感。	approved
authored.b095.system_ambient.speaker_grille_dots.0001	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	音箱网罩上的小孔排得均匀，前面板会显得很整齐。	approved
authored.b095.system_ambient.speaker_grille_dots.0002	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	一片细密圆点铺在网罩上，声音像被安静地收在里面。	approved
authored.b095.system_ambient.speaker_grille_dots.0003	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	深色网罩托着浅光，孔洞的排列会特别清楚。	approved
authored.b095.system_ambient.speaker_grille_dots.0004	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	音箱前面的细孔不抢眼，却给桌边留下稳定纹理。	approved
authored.b095.system_ambient.speaker_grille_dots.0005	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	小孔靠得很近，远看会融成一层很平的暗面。	approved
authored.b095.system_ambient.speaker_grille_dots.0006	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	网罩边缘很直，桌面的几何线条就多了一点延续。	approved
authored.b095.system_ambient.speaker_grille_dots.0007	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	音箱孔洞在侧光下有细小起伏，近看很有层次。	approved
authored.b095.system_ambient.speaker_grille_dots.0008	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	一排细点停在前面板，声音出口也显得很安静。	approved
authored.b095.system_ambient.speaker_grille_dots.0009	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	网罩没有复杂图案，均匀的孔位已经很耐看。	approved
authored.b095.system_ambient.speaker_grille_dots.0010	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	细密孔洞贴着边缘延开，音箱表面会显得更轻。	approved
authored.b095.system_ambient.speaker_grille_dots.0011	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	小圆孔的暗影很淡，却把前面板分得很具体。	approved
authored.b095.system_ambient.speaker_grille_dots.0012	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	音箱网罩收住了光，桌边的亮度不会显得太散。	approved
authored.b095.system_ambient.speaker_grille_dots.0013	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	一层黑色细孔靠在桌面上，视觉会有很稳的密度。	approved
authored.b095.system_ambient.speaker_grille_dots.0014	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	网罩上的点阵不闪动，音箱也像更安静地待在原处。	approved
authored.b095.system_ambient.speaker_grille_dots.0015	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	孔洞之间距离刚好时，整块表面会显得很平整。	approved
authored.b095.system_ambient.speaker_grille_dots.0016	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	音箱前方的细网贴着光线，深色也会有一点柔和变化。	approved
authored.b095.system_ambient.speaker_grille_dots.0017	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	一组小孔围住面板，简单结构看久了也很舒服。	approved
authored.b095.system_ambient.speaker_grille_dots.0018	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	网罩压住扬声器的轮廓，桌面边缘会显得更干净。	approved
authored.b095.system_ambient.speaker_grille_dots.0019	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	细孔形成低调纹理，靠近看才会发现每个位置都很规整。	approved
authored.b095.system_ambient.speaker_grille_dots.0020	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	音箱的暗色前脸不显眼，却让桌面多了一个稳定焦点。	approved
authored.b095.system_ambient.speaker_grille_dots.0021	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	小圆点沿着网罩铺开，像给声音留了一层很薄的幕。	approved
authored.b095.system_ambient.speaker_grille_dots.0022	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	网罩边上的阴影很短，音箱会显得更贴近桌面。	approved
authored.b095.system_ambient.speaker_grille_dots.0023	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	孔洞没有明显反光，屏幕旁边的亮度也更容易平衡。	approved
authored.b095.system_ambient.speaker_grille_dots.0024	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	一片均匀网罩安静立着，桌上的声音出口也有了边界。	approved
authored.b095.system_ambient.speaker_grille_dots.0025	b095	SystemAmbient	system_ambient	system_ambient.b095.speaker_grille_dots	speaker_grille_dots	system_ambient.b095.speaker_grille_dots	system_observe	any	none	dry	0	120	144	1	1.0	neutral	细小孔位收住声音的方向，让桌边显得更有秩序。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0001	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	鼠标垫的布边贴着桌面，边缘会留下一道很柔的影。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0002	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	深色垫面压住桌角，光线落下来会显得更安静。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0003	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	鼠标垫边缘微微卷起一点，布料就有了细小层次。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0004	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	一块垫面铺开以后，桌面的硬线条会柔和一些。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0005	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	布边靠着木纹，深浅之间会显出很自然的过渡。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0006	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	鼠标垫不需要很亮，稳稳停在手边就很好。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0007	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	边缘的缝线走得很直，桌面会多一点细致秩序。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0008	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	垫面接住一小片光，织物的纹理会慢慢浮出来。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0009	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	鼠标垫贴住桌面，风从旁边过来也不会轻易移位。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0010	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	深灰布面挨着浅色桌板，轮廓会特别清楚。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0011	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	一圈细细的包边收住垫面，角落会显得更完整。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0012	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	布垫的影子不深，却让桌面多了一点柔软厚度。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0013	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	鼠标垫放得很平，周围的物件也会显得更有位置。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0014	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	垫面没有图案时，织物本身的细纹就很耐看。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0015	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	边缘压在桌角附近，视线会自然停得更稳。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0016	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	一块布面铺在手边，桌面的亮会被轻轻收住。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0017	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	鼠标垫的弧形边角很小，却让方桌不那么生硬。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0018	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	浅色缝线贴着深色布料，边缘会有很干净的轮廓。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0019	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	垫面吸住一点光，屏幕周围也会显得更柔和。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0020	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	鼠标垫靠近桌边，留出的空白会显得更从容。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0021	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	布面纹路不太明显，摸起来却有安静的颗粒感。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0022	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	一片深色垫面守在桌上，旁边的小光点会更清楚。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0023	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	边缘的薄影沿着桌面走，让视线有了缓慢的落点。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0024	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	鼠标垫安静铺着，键盘和屏幕之间也多了一层柔缓。	approved
authored.b095.system_ambient.mousepad_edge_shadow.0025	b095	SystemAmbient	system_ambient	system_ambient.b095.mousepad_edge_shadow	mousepad_edge_shadow	system_ambient.b095.mousepad_edge_shadow	system_observe	any	none	gentle	0	120	144	1	1.0	neutral	一块平整布垫留在手边，让桌面的光线有了温和收尾。	approved
authored.b095.system_ambient.dock_connector_slots.0001	b095	SystemAmbient	system_ambient	system_ambient.b095.dock_connector_slots	dock_connector_slots	system_ambient.b095.dock_connector_slots	system_observe	any	none	curious	0	120	144	1	1.0	neutral	扩展坞上的接口排成一列，桌边多了一段明确的秩序。	approved
authored.b095.system_ambient.dock_connector_slots.0002	b095	SystemAmbient	system_ambient	system_ambient.b095.dock_connector_slots	dock_connector_slots	system_ambient.b095.dock_connector_slots	system_observe	any	none	curious	0	120	144	1	1.0	neutral	小小的连接槽嵌在外壳里，深色面板会显得很干净。	approved
