variant_id	batch_id	category	category_group	topic_id	editorial_role	semantic_group	output_mode	trigger	required_context	tone	interrupt_cost	cooldown_hours	semantic_cooldown_hours	max_per_day	weight	relationship_profile	text	review_status
authored.b008.gitdevops.versioning.0001	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	提交应表达一个可理解的变化，别把三件互不相干的事塞进同一封信。	approved
authored.b008.gitdevops.versioning.0002	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	改动前先更新分支，冲突越早出现，处理时越接近真实意图。	approved
authored.b008.gitdevops.versioning.0003	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	提交信息写下为什么改，比只写改了什么更能帮到未来的定位。	approved
authored.b008.gitdevops.versioning.0004	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	把格式化噪声和逻辑改动分开，审阅的人才看得见真正的重点。	approved
authored.b008.gitdevops.versioning.0005	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	分支名称描述目标，不要把临时情绪写进团队长期会看到的路径。	approved
authored.b008.gitdevops.versioning.0006	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	合并前先确认基线测试，历史干净不代表行为也干净。	approved
authored.b008.gitdevops.versioning.0007	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	回滚提交也要留下原因，下一位看到反转时才不会又把它翻回去。	approved
authored.b008.gitdevops.versioning.0008	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	大改动先切成可验证的小步，版本控制最擅长接住这种节奏。	approved
authored.b008.gitdevops.versioning.0009	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	忽略规则只排除构建产物，别顺手把需要审计的配置也藏起来。	approved
authored.b008.gitdevops.versioning.0010	b008	GitDevOps	technical	technical.gitdevops.versioning	history_hygiene	technical.gitdevops.versioning	self_talk	any	none	dry	1	168	192	1	1	neutral	标签指向的版本应能重建，只有名字漂亮的发布很难追溯。	approved
